base_event_key,stability_score
orlak,0.9952995119023639
mose,0.9308266415283517
mishe,0.9102806790316782
njbri,0.9061171436324988
migul,0.9026367822793899
wamou,0.9020602945723614
misal,0.8999483467620419
mimcc,0.8976523469670159
nysu,0.8954506348982231
orsal,0.8906057726743336
inmis,0.8863546408864871
njwas,0.8721814484273783
mil,0.8691269932277441
joh,0.8688867352761107
mawor,0.8687276692369686
njski,0.8686886983122643
nyli,0.866756980560557
txhou,0.8667551088159043
oktu,0.8653570023844614
midtr,0.8635931132304092
mifor,0.8629479005390531
ilpe,0.8603373877439873
waspo,0.8601015773533359
txpla,0.8568713645890038
orwil,0.8544307179588209
flta,0.8542305073803943
necmp,0.8536108141524635
vapor,0.8498096861800917
gal,0.8489352919074571
pncmp,0.847647452529741
gacmp,0.8474916713146475
dal,0.8457846289710793
arc,0.843974087471937
gadal,0.8427805138133011
incmp,0.8423797246244402
cur,0.8419777589170441
ausc,0.8406898149055639
mimil,0.8396294348333585
azva,0.8394514780061856
roe,0.8390873582019402
vahay,0.8386931751151296
tur,0.8379935300368905
mrcmp,0.8379672661309723
inwla,0.8365273621257424
milan,0.8364884540676416
njtab,0.835727332657568
carv,0.8355392969153477
ncpem,0.8337899219521913
micmp2,0.8337006017894042
onosh,0.8335863554451747
code,0.833190770835586
necmp1,0.8328549489021367
nytr,0.8316555766008866
txcmp1,0.8309753274860902
mitry,0.8303101692811726
ausp,0.8299574702057892
txda,0.8299372915892701
cthar,0.8295611985047718
onto1,0.8295315024767662
mnmi2,0.829192191888318
orore,0.8289736101986659
mdedg,0.8282941845600869
ndgf,0.8279754270601786
azfl,0.8273820786878168
nhdur,0.8271319178081282
chcmp,0.8269318148599245
micmp3,0.826630986068304
lake,0.8266242947368407
mikng,0.8262549231220792
azpx,0.8259164041331465
necmp2,0.8258747628848875
utwv,0.8251186025007009
dar,0.824791887038836
melew,0.8246572912322114
ncwak,0.8244102327466151
new,0.8233588102128867
micmp4,0.8232333844814289
caav,0.8230249591290054
paca,0.8217743808304169
wasno,0.8213271084477942
tuis,0.8207401658774639
alhu,0.8206614410632844
nyli2,0.8201362750665717
tuis2,0.8194909961006698
casd,0.8187542092940266
txcha,0.8171926555895532
cmptx,0.816606143423052
mike2,0.8164644728261246
micmp1,0.8158410654426225
iscmp,0.8137152438890491
milak,0.8136950877743538
hop,0.8133926208572538
micmp,0.8132471881885469
vagle,0.8129861935533562
miken,0.8121209677803276
mibel,0.8116183638201808
txbel,0.8089163280209823
milsu,0.8085346951669005
gagwi,0.8084184239277318
hiho,0.8080849915075882
mslr,0.8079414276878294
cala,0.8068769716040181
okok,0.806607626327024
micen,0.8063287954376804
casj,0.8062801487690985
ncmec,0.8060131867050437
ncgre,0.8057204863640002
miwmi,0.805059186475726
flor,0.8044393331622276
iacf,0.8040042304496049
njfla,0.8028579087098549
mnmi,0.8028479478107751
cada,0.8023988184556758
onham,0.8019722274110335
camb,0.8017753318337375
onwin,0.8015825951014502
isde4,0.8015467703159039
caoc,0.8014170245966442
vabla,0.8013082900775608
caph,0.801127525185348
cave,0.80007203060015
mxto,0.7999202817273315
onlon,0.7987188390710664
mimid,0.7983404702813754
misou,0.7978528301105084
gaalb,0.7978330622456105
mimus,0.7977806761926258
mxmo,0.7977487433061068
mdbet,0.7977392468422074
casf,0.7973955987225398
mitvc,0.7970730808818787
nccmp,0.7966033850539422
nvlv,0.7959699666355009
onnob,0.7949500091743718
miliv,0.7947097400871833
nyny,0.7946872445613472
isde3,0.7941057057583807
idbo,0.7940161969887435
oncmp,0.7923545927349682
miket,0.7923425382514635
mndu2,0.7920903224170845
miesc,0.7917256000004383
mabri,0.7903138525937095
paphi,0.790257571779979
marea,0.7897572427381845
wila,0.7890157516367954
gagai,0.7885099314499318
gacol,0.7878615069683365
flwp,0.7870580537726628
mibro,0.7858153551845862
cars,0.7851784320845225
mabos,0.7836645568876137
oncmp2,0.7825004288180585
ohcl,0.7811583518198437
txcmp,0.7811045358887442
cafr,0.7801939129234182
txcmp2,0.7785878642840756
mndu,0.7780201887422779
isde2,0.7757520955069623
ilch,0.775138482038608
ctwat,0.7749290416512541
tnkn,0.7748849326031677
mokc,0.7723203609433916
ohmv,0.7720844768629453
wayak,0.7720469881037977
txsan,0.7719684063526452
isde1,0.7697785971270777
mdowi,0.7681494392672757
mosl,0.7680973051897382
paben,0.767925018067724
scmb,0.7674193680062572
mawne,0.7668676764624516
bcvi,0.766807621910399
nyro,0.7665115185007265
nhgrs,0.7662685587923007
misjo,0.7661261337230991
wabon,0.7639113250068873
mijac,0.7635507744951575
tes,0.7624190616340109
midet,0.7602135426122119
waahs,0.7595587891705703
pawch,0.7586823298035081
pahat,0.7584212542215482
onwat,0.757836756570604
abca,0.7559884654489023
txwac,0.7528965939198724
mimar,0.7528003360392451
txama,0.7494010247470483
ontor,0.7482236046713607
miann,0.7476607651495691
ksla,0.7476189239310902
azgl,0.7468800651295873
txho,0.7457688327059256
txcle,0.7454735456693113
oncmp1,0.745238981352798
week0,0.7449330556704385
tuis3,0.7440788203123431
onnew,0.7430477487544874
tuhc,0.7425481788227939
txlu,0.7418230641543914
txfor,0.7410198028856353
waamv,0.7397567574936632
onbar,0.7393412550577674
wasam,0.738781208808226
txsa,0.738619198903951
wimi,0.7379626744087875
qcmo,0.7354167920388934
arli,0.7200915039923489
ncash,0.7126366523837376
gacar,0.7123302056409571
