feature,coefficient,abs_coeff
red_disp_total,0.6589379429439528,0.6589379429439528
blue_disp_total,-0.6123522551903053,0.6123522551903053
red_avg_winrate,0.5809707629735327,0.5809707629735327
blue_avg_winrate,-0.483883155504421,0.483883155504421
blue_avg_total,-0.3179007347158164,0.3179007347158164
red_avg_total,0.30165404357884656,0.30165404357884656
blue_avg_teleop,-0.29121991343260906,0.29121991343260906
red_max_total,0.2712692976672644,0.2712692976672644
red_top2_total,0.2712190692581317,0.2712190692581317
red_avg_teleop,0.27010654055111183,0.27010654055111183
blue_max_total,-0.23795000249627793,0.23795000249627793
red_disp_auto,-0.20141825611383232,0.20141825611383232
red_disp_teleop,-0.19681601912716737,0.19681601912716737
blue_disp_auto,0.18609476476224934,0.18609476476224934
blue_disp_teleop,0.17230889908075928,0.17230889908075928
blue_top2_total,-0.17218043401064678,0.17218043401064678
red_max_teleop,-0.1536947122415322,0.1536947122415322
blue_max_teleop,0.14153364983959402,0.14153364983959402
red_max_auto,-0.10640700366597902,0.10640700366597902
blue_top2_auto,0.09105652115880986,0.09105652115880986
red_top2_teleop,-0.053957086065873405,0.053957086065873405
red_avg_auto,0.050184115921243666,0.050184115921243666
red_top2_auto,-0.043277341435505275,0.043277341435505275
blue_top2_teleop,0.013235999172489393,0.013235999172489393
blue_max_auto,-0.012064440719156591,0.012064440719156591
blue_avg_auto,-0.01168765791522177,0.01168765791522177
